Номенклатура АлгаДистрибьюшн факт;Наименование от производителя
"1ЭЭ01028 ""OMEGA 9"", тон 4.3 Золотистый кофе / Lustrous middle brown";"Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон 4.3                  Золотистый кофе / Lustrous middle brown"
"1ЭЭ01029 ""OMEGA 9"", тон 7.06 Ракушка / Dark ash blonde";"Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон 7.06               Ракушка / Dark ash blonde"
"1ЭЭ01030 ""OMEGA 9"", тон 11.6 Яркий пепельный блондин / Bright ash blonde";" Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон 11.6              Яркий пепельный блондин / Bright ash blonde"
"1ЭЭ01031 ""OMEGA 9"", тон 7.7 Горький шоколад / Bitter chocolate";"Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон 7.7                  Горький шоколад / Bitter chocolate"
"1ЭЭ01032 ""OMEGA 9"", тон 6.73 Эспрессо / Deep ash blonde";"Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон 6.73                 Эспрессо / Deep ash blonde"
"1ЭЭ01033 ""OMEGA 9"", тон 5.7 Какао / Cacao";"Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон 5.7                      Какао / Cacao"
"1ЭЭ01034 ""OMEGA 9"", тон 7.3 Золотисто русый / Golden blonde";"Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон 7.3                  Золотисто русый / Golden blonde"
"1ЭЭ01035 ""OMEGA 9"", тон 6.44 Медный шик / Deep copper";"Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон 6.44               Медный шик / Deep copper"
"1ЭЭ01036 ""OMEGA 9"", тон 11.0 Скандиновский блондин / Skandinavian blonde";"Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон 11.0              Скандиновский блондин / Skandinavian blonde"
"1ЭЭ01037 ""OMEGA 9"", тон 9.1 Пепельный / Very light blond ash";"Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон 9.1                Пепельный / Very light blond ash"
"1ЭЭ01038 ""OMEGA 9"", тон 3.70 Темный шоколад / Dark chocolate";"Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон 3.70                      Темный шоколад /  Dark chocolate"
"1ЭЭ01039 ""OMEGA 9"", тон 8.1 Холодный светло-русый / Blond ash";"Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон 8.1                   Холодный светло-русый / Blond ash"
"1ЭЭ01040 ""OMEGA 9"", тон 7.1 Холодный русый / Blond ash";"Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон 7.1              Холодный русый / Blond ash"
1ЭЭ01041 «3D», тон 3.65 Баклажан / Aubergine;Стойкая крем краска для волос  «Éclair» «3D», тон 3.65                                         Баклажан / Aubergine
1ЭЭ01042 «3D», тон 5.77 Шоколадный каштан / Chocolate brown;Стойкая крем краска для волос  «Éclair» «3D», тон  5.77                                      Шоколадный каштан / Chocolate brown
1ЭЭ01043 «3D», тон 4.0 Роскошный каштан / Soft dark brown;Стойкая крем краска для волос  «Éclair» «3D», тон  4.0                                       Роскошный каштан / Soft dark brown
1ЭЭ01044 «3D», тон 5.0 Шоколадный / Chocolate;Стойкая крем краска для волос  «Éclair» «3D», тон 5.0                                   Шоколадный / Chocolate
